timestamp,x,y,z,compass_hdg,bearing,yaw_error,vel_x,vel_y,vel_z,yaw_rate,estimated_state_x,estimated_state_y,desired_radius,distance_error
1757224236.1839576,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224236.334393,0.0,0.0,0.0,0.0,0.000390625,0.000390625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224236.4839575,0.0,0.0,0.0,0.0,0.000390625,0.000390625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224236.6337113,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224236.7839348,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224236.934528,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.0843737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.2334068,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.3841097,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.5345519,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.6843836,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.8338585,0.0,0.0,0.0,0.0,0.000390625,0.000390625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224237.9839633,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224238.1344397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224238.2852561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224238.4334946,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224238.583873,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224238.7343338,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224238.8846343,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.0337057,0.0,0.0,0.0,0.0,-0.0001953125,-0.0001953125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.183831,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.3344014,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.4844031,0.0,0.0,0.0,0.0,0.00078125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.6337025,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.7841685,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224239.9344885,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.0879936,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.2340195,0.0,0.0,0.0,0.0,0.000390625,0.000390625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.3838496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.5367653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.6841276,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.833732,0.0,0.0,0.0,0.0,0.0023437500000000003,0.0023437500000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224240.9839442,0.0,0.0,0.0,0.0,-0.0001953125,-0.0001953125,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224241.1340618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224241.2850156,0.0,0.0,0.0,0.0,0.000390625,0.000390625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1757224241.4337227,0.0,0.0,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
